[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.3556 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.0544 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.1540 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.2576 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.3436 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.4629 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.5640 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.6748 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 1.7283 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 1.8311 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 1.9414 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 1.9922 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.0868 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.1858 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.2970 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.4002 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 2.4943 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 2.6008 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 2.7083 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 2.7961 seconds
