[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.4025 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.2798 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.3876 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.5033 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.6382 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.6963 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.8059 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.9342 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 1.9947 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 2.1192 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 2.2175 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.3220 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.4176 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.5340 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.6736 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.8065 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 2.9045 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 3.4015 seconds
