model 	run	Time (s)
M1	1	176.512
M1	2	108.184
M1	3	183.217
M1	4	164.134
M1	5	61.561
M1	6	137.54
M1	7	201.528
M1	8	160.059
M1	9	271.032
M1	10	162.197
M1	11	125.047
M1	12	181.801
M1	13	168.423
M1	14	143.348
M1	15	213.689
M1	16	137.932
M1	17	202.431
M1	18	149.764
M1	19	525.581
M1	20	271.032
M1	21	337.274
M1	22	203.529
M1	23	136.216
M1	24	144.586
M1	25	179.253
M1	26	194.85
M1	27	228.471
M1	28	314.868
M1	29	220.136
M1	30	158.633

