[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.9928 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 4.0681 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 5.6218 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 7.2144 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 8.3263 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 9.2450 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 11.5742 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 13.2762 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 14.3182 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 15.7918 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 17.2264 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 19.1909 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 21.2508 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 23.8744 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 25.5560 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 27.8114 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 29.5149 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 31.7784 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 33.2680 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 34.8285 seconds
