[TIMER] ENHSP Planning Time Plan1: Elapsed time: 1.6901 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 6.0713 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 7.9622 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 9.6632 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 11.5216 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 13.6912 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 16.2397 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 17.7220 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 20.7393 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 23.2014 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 25.6600 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 28.5126 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 31.7743 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 33.5819 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 35.5717 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 39.0407 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 41.7151 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 45.9648 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 48.3135 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 51.4667 seconds
