[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.9915 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 4.5028 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 6.2620 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 7.6038 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 9.5978 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 10.8508 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 12.5490 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 14.4921 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 15.7907 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 17.7742 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 19.8864 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 21.7360 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 23.7576 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 25.3781 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 27.5266 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 29.0934 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 30.3788 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 32.8477 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 34.5292 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 36.0915 seconds
