[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.4033 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 0.9177 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 0.9937 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.0850 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.1786 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.2594 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.3664 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.4646 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 1.5663 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 1.6594 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 1.7595 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 1.8636 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 1.9432 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.0245 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.1231 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.2239 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 2.3043 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 2.3915 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 2.4378 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 2.4832 seconds
