[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.4147 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.0156 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.1559 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.2789 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.4100 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.5377 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.6641 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.7253 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 1.8836 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 2.0245 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 2.1640 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.3087 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.4252 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.5524 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.6621 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.7916 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 2.8570 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 3.1655 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 3.3574 seconds
