[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.3619 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.0261 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.1028 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.2204 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.3201 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.4417 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.5351 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.6343 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 1.7425 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 1.8619 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 1.9644 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.0550 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.1484 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.2471 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.3452 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.4252 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 2.4710 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 2.5558 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 2.6027 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 2.7198 seconds
