[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.4078 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.0129 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.1051 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.2032 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.3186 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.4209 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.5228 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.6342 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 1.7410 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 1.8516 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 1.9471 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.0394 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.1550 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.2547 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.3043 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.3952 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 2.4433 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 2.5425 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 2.6366 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 2.7488 seconds
