[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.3935 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.1350 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.2353 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.3580 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.4496 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.6918 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.8521 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.9804 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 2.2516 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 2.3821 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.5064 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.6513 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.7655 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.8553 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 3.1092 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 3.1642 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 3.2203 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 3.2773 seconds
