[TIMER] ENHSP Planning Time Plan1: Elapsed time: 2.0076 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 6.3764 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 8.7868 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 9.9873 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 11.9651 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 14.5431 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 17.3052 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 19.7061 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 21.9935 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 24.2496 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 27.0390 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 29.2028 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 31.0113 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 33.2155 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 35.5326 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 37.9044 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 39.4831 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 41.3907 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 42.7394 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 45.5821 seconds
