[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.3943 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 0.9329 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.0153 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.0959 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.1918 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.2853 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.3861 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.4810 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 1.5899 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 1.6822 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 1.7745 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 1.8622 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 1.9667 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.0756 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.1556 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.2966 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 2.3940 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 2.4880 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 2.5353 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 2.6380 seconds
