[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.3806 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.0166 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.1157 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.2244 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.3339 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.6460 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.7868 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.9380 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 2.0556 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 2.1166 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.5410 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.6719 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 2.8876 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 3.0178 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 3.1313 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 3.2977 seconds
