[TIMER] ENHSP Planning Time Plan1: Elapsed time: 1.0965 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 4.1570 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 5.4284 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 6.4066 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 8.0917 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 9.5670 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 12.0300 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 14.1575 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 17.3877 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 19.3911 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 21.7662 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 24.7917 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 27.9562 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 32.3138 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 34.4910 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 36.0713 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 37.1765 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 39.2862 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 41.4342 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 43.3963 seconds
