[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.3810 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 0.9693 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.0740 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.1848 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.2750 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.5484 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.7258 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.8393 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 2.0054 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 2.2731 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.5659 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.7056 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.8483 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.9015 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 3.0061 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 3.1440 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 3.1993 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 3.3448 seconds
