[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.4371 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.4291 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.5258 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.6167 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.7128 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.8134 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.9130 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 2.0012 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 2.1289 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 2.2317 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 2.3262 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.4059 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.5163 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.6401 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.7283 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.7759 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 2.8209 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 2.8833 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 2.9859 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 3.0777 seconds
