model 	run	Time (s)
M2	1	97.438
M2	2	95.132
M2	3	101.935
M2	4	109.77
M2	5	96.759
M2	6	130.695
M2	7	136.592
M2	8	145.731
M2	9	303.55
M2	10	93.375
M2	11	93.633
M2	12	109.657
M2	13	190.746
M2	14	219.142
M2	15	90.148
M2	16	102.015
M2	17	219.041
M2	18	83.421
M2	19	92.201
M2	20	192.057
M2	21	93.184
M2	22	82.394
M2	23	89.034
M2	24	198.742
M2	25	108.961
M2	26	145.823
M2	27	93.81
M2	28	98.723
M2	29	96.784
M2	30	145.575

