[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.4453 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.0510 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.1553 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.2777 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.3951 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.7591 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.9012 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 2.0137 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 2.1351 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 2.2631 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 2.3775 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.7241 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.8559 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 3.1865 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 3.3932 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 3.5231 seconds
