[TIMER] ENHSP Planning Time Plan1: Elapsed time: 1.8842 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 8.7402 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 11.5362 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 13.1477 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 17.0516 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 19.7098 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 21.6471 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 23.9017 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 26.0403 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 27.6916 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 30.3118 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 33.1846 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 34.9065 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 37.9747 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 39.7204 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 42.3738 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 44.6608 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 46.6720 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 48.9913 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 51.2275 seconds
