[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.5240 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.0470 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.1510 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.2488 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.3260 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.4360 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.4869 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.5800 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 1.6285 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 1.7374 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 1.8374 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 1.8854 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 1.9806 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.0743 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.1647 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.2612 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 2.3605 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 2.4270 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 2.5226 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 2.6095 seconds
