[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.3916 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 0.9861 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.0695 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.1897 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.2959 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.5725 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.7182 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.8634 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 1.9927 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 2.1285 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 2.2811 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.3799 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.4882 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.6096 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 2.9324 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 2.9876 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 3.0934 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 3.2238 seconds
