[TIMER] ENHSP Planning Time Plan1: Elapsed time: 1.6825 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 6.2032 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 7.8602 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 9.6013 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 12.3138 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 13.9649 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 16.6587 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 18.7459 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 21.3313 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 23.9240 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 26.5504 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 29.2391 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 31.3203 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 33.8928 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 36.4034 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 38.3310 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 40.8462 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 43.9389 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 46.6518 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 48.8040 seconds
