[TIMER] ENHSP Planning Time Plan1: Elapsed time: 1.9370 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 6.6449 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 8.6983 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 10.6390 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 12.8094 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 14.6890 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 16.5409 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 17.9345 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 19.8295 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 21.7446 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 23.2405 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 25.4764 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 27.4090 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 29.4167 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 32.1299 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 33.6831 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 35.2937 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 36.7320 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 38.7884 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 41.3149 seconds
