[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.4150 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.0236 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.1130 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.2066 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.2577 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.3741 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.4727 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.5642 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 1.6713 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 1.7771 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 1.8703 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 1.9684 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.0460 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.1474 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.2433 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.3593 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 2.4308 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 2.5290 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 2.5881 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 2.6907 seconds
