[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.4251 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.1281 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.2156 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.3213 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.4315 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.8541 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.9771 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 2.1099 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.3831 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.5569 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.8120 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.9219 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 2.9768 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 3.3926 seconds
