[TIMER] ENHSP Planning Time Plan1: Elapsed time: 1.1211 ± 0.1078
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.5957 ± 0.1479
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.7412 ± 0.1493
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.8501 ± 0.1693
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.9611 ± 0.1848
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 2.4081 ± 0.1993
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 2.5143 ± 0.2011
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 2.6362 ± 0.2191
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 2.7341 ± 0.253
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.8513 ± 0.3971
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.9843 ± 0.4482
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 3.0964 ± 0.4722
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 3.1941 ± 0.4934
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 3.3109 ± 0.5056
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 3.3566 ± 0.5334
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 3.4300 ± 0.5887
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 3.5384 ± 0.5903
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 3.6269 ± 0.6068
