[TIMER] ENHSP Planning Time Plan1: Elapsed time: 7.5731 ± 0.0187
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 492.0878 ± 65.7843
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 519.1054 ± 66.9821
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 544.5307 ± 68.1034
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 570.3567 ± 69.2175
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 609.1793 ± 70.4389
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 636.9745 ± 71.5241
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 655.9992 ± 72.6157
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 671.9756 ± 73.7842
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 688.1855 ± 74.9238
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 714.4996 ± 76.1824
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 760.0883 ± 77.3459
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 771.9562 ± 78.5023
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 813.2777 ± 79.7181
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 844.4668 ± 80.9347
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 865.4866 ± 82.1472
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 883.6327 ± 83.5624
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 915.9956 ± 85.0146
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 936.7167 ± 88.1123
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 961.1288 ± 93.2982
