[TIMER] ENHSP Planning Time Plan1: Elapsed time: 17.7234 ± 0.2017
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 416.7821 ± 53.1083
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 431.5512 ± 54.3271
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 451.8882 ± 55.4168
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 468.4220 ± 56.2084
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 481.6550 ± 57.0349
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 495.0868 ± 58.4921
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 508.5497 ± 59.1037
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 520.6555 ± 60.2184
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 534.1415 ± 61.5093
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 544.6623 ± 62.8742
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 553.0371 ± 64.1027
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 571.0718 ± 65.3185
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 589.8495 ± 66.7421
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 598.7312 ± 68.0914
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 609.2040 ± 69.5087
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 634.9427 ± 71.2036
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 645.9000 ± 73.0041
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 659.5190 ± 75.8129
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 670.3325 ± 79.0528

