[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.4113 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.0680 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.2192 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.3229 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.4960 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.6190 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.7598 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.8659 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 2.0217 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 2.1417 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 2.2521 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.3836 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.4925 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.6025 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.7608 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.8811 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 3.0004 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 3.4866 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 3.7523 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 3.8460 seconds
