[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.3771 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.1241 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.2478 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.3708 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.4936 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.8111 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 2.1877 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 2.3314 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 2.4749 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.6221 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.9381 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 3.1097 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 3.2534 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 3.3815 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 3.5532 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 3.7156 seconds
