[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.9139 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 5.8780 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 6.8354 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 8.6525 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 9.8712 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 11.0601 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 12.3786 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 14.3266 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 15.9490 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 17.6734 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 19.6869 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 21.4160 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 23.0915 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 24.5361 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 26.5676 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 28.4065 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 29.9279 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 31.5691 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 33.7084 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 35.9349 seconds
