[TIMER] ENHSP Planning Time Plan1: Elapsed time: 1.7263 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 6.3217 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 8.6805 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 10.3697 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 13.0991 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 14.8611 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 17.3495 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 19.7156 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 22.1650 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 24.2714 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 25.8310 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 28.0766 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 30.0106 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 32.4627 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 35.3330 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 37.7965 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 40.5310 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 42.7375 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 45.1441 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 47.3194 seconds
