[TIMER] ENHSP Planning Time Plan1: Elapsed time: 1.0251 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 3.9305 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 5.5165 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 7.1814 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 8.9948 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 10.7829 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 13.2210 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 15.3319 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 18.0701 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 19.0010 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 20.8438 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 21.9131 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 23.8747 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 25.4489 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 27.3579 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 28.8814 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 30.2429 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 32.1013 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 34.6689 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 36.3739 seconds
