[TIMER] ENHSP Planning Time Plan1: Elapsed time: 2.3776 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 6.1278 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 7.5788 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 10.6408 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 14.1041 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 16.1929 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 18.4393 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 20.5304 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 23.4707 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 26.1937 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 29.1082 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 31.9139 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 35.1306 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 36.9569 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 39.2984 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 42.0654 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 43.8749 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 45.9931 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 48.2400 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 50.6200 seconds
