[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.3858 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 0.9434 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.0352 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.1392 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.2462 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.5341 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.6909 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.8253 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 1.9286 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 2.1621 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.3180 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.3751 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.4895 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.7660 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 2.9134 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 3.0593 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 3.2850 seconds
