[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.3923 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 0.9995 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.1185 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.2201 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.3334 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.5912 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.7533 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.8771 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 2.2657 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 2.3906 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.6197 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.7657 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.8623 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 3.0264 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 3.1587 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 3.2648 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 3.5081 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 3.5953 seconds
