[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.4961 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.0029 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.0864 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.1968 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.2929 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.5337 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.6722 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.7726 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 1.8709 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 2.0133 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 2.1331 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.2644 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.4110 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.7775 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 2.9191 seconds
