[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.4325 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.2561 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.4009 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.5557 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.6520 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.7611 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.9057 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 2.0708 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 2.1878 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 2.2972 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 2.4028 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.5102 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.6448 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.7010 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.7817 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.9158 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 3.0666 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 3.4218 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 3.5646 seconds
