[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.5386 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.1533 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.2456 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.3486 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.4601 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.7004 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.8473 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.9658 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 2.1045 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 2.2363 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 2.3428 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.4830 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.6007 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.7444 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.9209 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 3.2659 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 3.3286 seconds
