[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.6674 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.3465 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.4600 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.5620 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.6816 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.7849 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.8896 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 1.9483 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 2.0557 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 2.1810 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 2.2801 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.3871 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.5084 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.6416 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.7438 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.8601 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 2.9834 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 3.3195 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 3.4434 seconds
