[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.4239 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.0458 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.1538 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.2779 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.3819 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.6569 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.8151 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 2.0575 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 2.1548 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.4041 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.5101 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 2.9006 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 3.0077 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 3.1096 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 3.1635 seconds
