[TIMER] ENHSP Planning Time Plan1: Elapsed time: 0.4389 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 1.1134 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 1.2130 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 1.3240 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 1.4310 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 1.7555 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 1.9055 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 2.0386 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 2.1559 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 2.2941 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 2.3489 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 2.4881 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 2.6258 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 2.7748 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 2.8288 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 3.1178 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 3.2691 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 3.3768 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 3.4985 seconds
