[TIMER] ENHSP Planning Time Plan1: Elapsed time: 1.0374 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 4.5483 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 6.2542 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 7.8159 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 9.5780 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 10.9396 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 12.0847 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 13.6873 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 15.5867 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 17.4170 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 18.8551 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 20.6993 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 22.6957 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 24.7213 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 26.2157 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 28.7633 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 30.7584 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 32.4078 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 34.3941 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 36.1105 seconds
