[TIMER] ENHSP Planning Time Plan1: Elapsed time: 2.1528 seconds
[TIMER] TEMPest Planning Time for Plan2: Elapsed time: 5.8437 seconds
[TIMER] TEMPest Planning Time for Plan3: Elapsed time: 7.1446 seconds
[TIMER] TEMPest Planning Time for Plan4: Elapsed time: 9.5965 seconds
[TIMER] TEMPest Planning Time for Plan5: Elapsed time: 11.9884 seconds
[TIMER] TEMPest Planning Time for Plan6: Elapsed time: 13.5757 seconds
[TIMER] TEMPest Planning Time for Plan7: Elapsed time: 15.2468 seconds
[TIMER] TEMPest Planning Time for Plan8: Elapsed time: 18.2900 seconds
[TIMER] TEMPest Planning Time for Plan9: Elapsed time: 20.9496 seconds
[TIMER] TEMPest Planning Time for Plan10: Elapsed time: 22.4013 seconds
[TIMER] TEMPest Planning Time for Plan11: Elapsed time: 24.5775 seconds
[TIMER] TEMPest Planning Time for Plan12: Elapsed time: 27.1948 seconds
[TIMER] TEMPest Planning Time for Plan13: Elapsed time: 29.3823 seconds
[TIMER] TEMPest Planning Time for Plan14: Elapsed time: 32.7700 seconds
[TIMER] TEMPest Planning Time for Plan15: Elapsed time: 34.1266 seconds
[TIMER] TEMPest Planning Time for Plan16: Elapsed time: 37.0706 seconds
[TIMER] TEMPest Planning Time for Plan17: Elapsed time: 38.7353 seconds
[TIMER] TEMPest Planning Time for Plan18: Elapsed time: 40.2986 seconds
[TIMER] TEMPest Planning Time for Plan19: Elapsed time: 43.3898 seconds
[TIMER] TEMPest Planning Time for Plan20: Elapsed time: 46.1860 seconds
